id,label
0,5
1,3
2,2
3,5
4,5
5,3
6,3
7,2
8,1
9,4
10,2
11,4
12,5
13,2
14,3
15,2
16,3
17,5
18,3
19,3
20,3
21,1
22,5
23,3
24,5
25,3
26,4
27,2
28,5
29,4
30,1
31,3
32,4
33,2
34,1
35,4
36,3
37,3
38,2
39,3
40,3
41,2
42,3
43,3
44,3
45,3
46,4
47,3
48,4
49,5
50,4
51,4
52,4
53,5
54,3
55,5
56,3
57,4
58,4
59,4
60,1
61,4
62,3
63,1
64,4
65,1
66,4
67,2
68,2
69,3
70,3
71,3
72,4
73,4
74,5
75,2
76,3
77,3
78,4
79,5
80,3
81,3
82,3
83,2
84,2
85,3
86,3
87,5
88,5
89,2
90,5
91,5
92,5
93,4
94,3
95,3
96,1
97,4
98,5
99,4
100,4
101,2
102,4
103,4
104,5
105,2
106,3
107,1
108,5
109,1
110,3
111,4
112,2
113,1
114,3
115,4
116,3
117,3
118,1
119,3
120,3
121,4
122,2
123,2
124,4
125,3
126,1
127,5
128,1
129,3
130,5
131,1
132,2
133,4
134,5
135,3
136,4
137,2
138,4
139,3
140,5
141,3
142,1
143,3
144,1
145,4
146,5
147,3
148,3
149,2
150,1
151,1
152,3
153,3
154,4
155,3
156,3
157,3
158,4
159,4
160,1
161,1
162,2
163,5
164,2
165,5
166,2
167,3
168,4
169,1
170,3
171,3
172,4
173,3
174,5
175,4
176,3
177,2
178,3
179,3
180,3
181,4
182,3
183,3
184,1
185,4
186,4
187,1
188,5
189,1
190,3
191,4
192,1
193,3
194,4
195,3
196,1
197,5
198,4
199,2
200,2
201,3
202,2
203,5
204,1
205,4
206,4
207,3
208,3
209,2
210,1
211,3
212,1
213,2
214,3
215,3
216,1
217,1
218,5
219,2
220,1
221,2
222,5
223,3
224,4
225,3
226,1
227,4
228,4
229,4
230,1
231,3
232,5
233,3
234,4
235,3
236,5
237,3
238,3
239,4
240,1
241,5
242,4
243,4
244,3
245,5
246,1
247,3
248,3
249,3
250,5
251,2
252,1
253,4
254,4
255,5
256,4
257,5
258,5
259,1
260,3
261,4
262,3
263,1
264,4
265,5
266,2
267,5
268,4
269,5
270,3
271,3
272,4
273,2
274,2
275,4
276,5
277,1
278,5
279,3
280,3
281,3
282,4
283,4
284,4
285,5
286,2
287,3
288,3
289,3
290,2
291,5
292,5
293,4
294,2
295,4
296,4
297,5
298,3
299,4
300,4
301,1
302,5
303,3
304,3
305,1
306,3
307,4
308,3
309,5
310,4
311,1
312,4
313,4
314,3
315,5
316,4
317,3
318,5
319,3
320,3
321,3
322,4
323,5
324,1
325,5
326,1
327,1
328,3
329,3
330,4
331,3
332,4
333,5
334,3
335,3
336,5
337,3
338,4
339,5
340,5
341,3
342,4
343,5
344,4
345,3
346,4
347,4
348,3
349,2
350,1
351,3
352,4
353,2
354,4
355,5
356,3
357,4
358,3
359,4
360,3
361,3
362,3
363,4
364,3
365,4
366,2
367,4
368,3
369,4
370,3
371,1
372,3
373,3
374,3
