id,label
0,5
1,3
2,2
3,5
4,2
5,3
6,3
7,2
8,1
9,4
10,2
11,4
12,5
13,2
14,3
15,2
16,3
17,3
18,3
19,3
20,5
21,1
22,5
23,3
24,3
25,3
26,3
27,2
28,5
29,5
30,5
31,3
32,1
33,1
34,1
35,4
36,3
37,3
38,2
39,3
40,3
41,2
42,3
43,3
44,3
45,3
46,4
47,3
48,4
49,5
50,4
51,4
52,4
53,5
54,3
55,5
56,3
57,4
58,4
59,1
60,5
61,4
62,3
63,1
64,1
65,5
66,4
67,4
68,3
69,3
70,4
71,3
72,5
73,4
74,5
75,1
76,3
77,3
78,4
79,5
80,3
81,3
82,3
83,5
84,4
85,3
86,3
87,5
88,5
89,4
90,5
91,5
92,5
93,4
94,3
95,3
96,1
97,4
98,5
99,4
100,4
101,2
102,5
103,5
104,4
105,1
106,3
107,5
108,5
109,1
110,3
111,2
112,2
113,1
114,5
115,4
116,3
117,3
118,1
119,3
120,3
121,2
122,3
123,2
124,1
125,3
126,5
127,5
128,1
129,1
130,5
131,4
132,2
133,4
134,5
135,3
136,2
137,2
138,1
139,3
140,5
141,3
142,3
143,3
144,3
145,3
146,5
147,3
148,3
149,2
150,1
151,1
152,3
153,3
154,4
155,3
156,3
157,5
158,4
159,4
160,1
161,1
162,5
163,5
164,2
165,5
166,1
167,5
168,4
169,1
170,3
171,4
172,4
173,2
174,5
175,4
176,3
177,2
178,3
179,3
180,3
181,4
182,3
183,3
184,1
185,4
186,4
187,1
188,5
189,1
190,1
191,4
192,3
193,3
194,4
195,3
196,2
197,4
198,4
199,2
200,2
201,3
202,1
203,5
204,1
205,4
206,4
207,3
208,3
209,5
210,1
211,3
212,1
213,2
214,3
215,3
216,1
217,1
218,3
219,2
220,5
221,2
222,5
223,3
224,4
225,4
226,1
227,4
228,2
229,4
230,4
231,3
232,5
233,3
234,4
235,3
236,5
237,3
238,3
239,4
240,4
241,5
242,3
243,4
244,3
245,5
246,1
247,2
248,1
249,3
250,5
251,3
252,1
253,4
254,4
255,5
256,4
257,2
258,5
259,1
260,3
261,4
262,5
263,1
264,5
265,5
266,1
267,5
268,4
269,5
270,3
271,3
272,4
273,3
274,3
275,4
276,5
277,1
278,5
279,3
280,3
281,4
282,4
283,2
284,4
285,5
286,2
287,3
288,3
289,3
290,2
291,5
292,5
293,4
294,2
295,4
296,4
297,4
298,5
299,4
300,4
301,1
302,5
303,3
304,3
305,1
306,3
307,2
308,3
309,2
310,4
311,1
312,4
313,4
314,4
315,5
316,2
317,3
318,4
319,5
320,3
321,3
322,4
323,1
324,1
325,5
326,3
327,1
328,3
329,3
330,4
331,3
332,2
333,5
334,5
335,5
336,5
337,3
338,4
339,5
340,5
341,1
342,4
343,5
344,4
345,3
346,4
347,4
348,3
349,2
350,4
351,1
352,4
353,4
354,2
355,5
356,3
357,1
358,3
359,4
360,3
361,3
362,3
363,4
364,3
365,4
366,2
367,5
368,3
369,4
370,3
371,1
372,3
373,2
374,5
